	2017	2018	diff	sum	2017_norm	2018_norm	norm_diff
tips	0.000	1.000	1.000	1.000	0.000	0.000	0.000
transferrable	0.000	1.000	1.000	1.000	0.000	0.000	0.000
trainable	0.000	1.000	1.000	1.000	0.000	0.000	0.000
traffic	1.000	2.000	1.000	3.000	0.000	0.000	0.000
tractable	0.000	1.000	1.000	1.000	0.000	0.000	0.000
tracklets	0.000	1.000	1.000	1.000	0.000	0.000	0.000
trackers	0.000	1.000	1.000	1.000	0.000	0.000	0.000
topologyaware	0.000	1.000	1.000	1.000	0.000	0.000	0.000
topology	0.000	1.000	1.000	1.000	0.000	0.000	0.000
toolchain	0.000	1.000	1.000	1.000	0.000	0.000	0.000
tone	0.000	1.000	1.000	1.000	0.000	0.000	0.000
tomnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
timeresolved	0.000	1.000	1.000	1.000	0.000	0.000	0.000
unwarping	0.000	1.000	1.000	1.000	0.000	0.000	0.000
timememoryefficient	0.000	1.000	1.000	1.000	0.000	0.000	0.000
timelapse	0.000	1.000	1.000	1.000	0.000	0.000	0.000
tigers	0.000	1.000	1.000	1.000	0.000	0.000	0.000
tienet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
tieaware	0.000	1.000	1.000	1.000	0.000	0.000	0.000
throughwall	0.000	1.000	1.000	1.000	0.000	0.000	0.000
throughput	0.000	1.000	1.000	1.000	0.000	0.000	0.000
threeplayer	0.000	1.000	1.000	1.000	0.000	0.000	0.000
thoracic	0.000	1.000	1.000	1.000	0.000	0.000	0.000
this	0.000	1.000	1.000	1.000	0.000	0.000	0.000
they	0.000	1.000	1.000	1.000	0.000	0.000	0.000
transitivity	0.000	1.000	1.000	1.000	0.000	0.000	0.000
translating	0.000	1.000	1.000	1.000	0.000	0.000	0.000
translations	0.000	1.000	1.000	1.000	0.000	0.000	0.000
transparency	0.000	1.000	1.000	1.000	0.000	0.000	0.000
unstructured	0.000	1.000	1.000	1.000	0.000	0.000	0.000
unscripted	0.000	1.000	1.000	1.000	0.000	0.000	0.000
unreasonable	0.000	1.000	1.000	1.000	0.000	0.000	0.000
unpaired	0.000	1.000	1.000	1.000	0.000	0.000	0.000
unlabeled	0.000	1.000	1.000	1.000	0.000	0.000	0.000
unitnorm	0.000	1.000	1.000	1.000	0.000	0.000	0.000
unique	0.000	1.000	1.000	1.000	0.000	0.000	0.000
uniform	0.000	1.000	1.000	1.000	0.000	0.000	0.000
understand	0.000	1.000	1.000	1.000	0.000	0.000	0.000
underlying	0.000	1.000	1.000	1.000	0.000	0.000	0.000
undergoing	0.000	1.000	1.000	1.000	0.000	0.000	0.000
unbiased	0.000	1.000	1.000	1.000	0.000	0.000	0.000
types	0.000	1.000	1.000	1.000	0.000	0.000	0.000
typeagnostic	0.000	1.000	1.000	1.000	0.000	0.000	0.000
twoway	0.000	1.000	1.000	1.000	0.000	0.000	0.000
twofold	0.000	1.000	1.000	1.000	0.000	0.000	0.000
tube	0.000	1.000	1.000	1.000	0.000	0.000	0.000
tryon	0.000	1.000	1.000	1.000	0.000	0.000	0.000
trust	0.000	1.000	1.000	1.000	0.000	0.000	0.000
trouble	0.000	1.000	1.000	1.000	0.000	0.000	0.000
tripletcenter	0.000	1.000	1.000	1.000	0.000	0.000	0.000
tricks	0.000	1.000	1.000	1.000	0.000	0.000	0.000
trapping	0.000	1.000	1.000	1.000	0.000	0.000	0.000
singlepass	0.000	1.000	1.000	1.000	0.000	0.000	0.000
singlecell	0.000	1.000	1.000	1.000	0.000	0.000	0.000
simulating	0.000	1.000	1.000	1.000	0.000	0.000	0.000
potentials	0.000	1.000	1.000	1.000	0.000	0.000	0.000
principal	0.000	1.000	1.000	1.000	0.000	0.000	0.000
priming	0.000	1.000	1.000	1.000	0.000	0.000	0.000
preserved	0.000	1.000	1.000	1.000	0.000	0.000	0.000
present	0.000	1.000	1.000	1.000	0.000	0.000	0.000
preference	0.000	1.000	1.000	1.000	0.000	0.000	0.000
predicts	0.000	1.000	1.000	1.000	0.000	0.000	0.000
predictors	0.000	1.000	1.000	1.000	0.000	0.000	0.000
predictionanddistillation	0.000	1.000	1.000	1.000	0.000	0.000	0.000
ppfnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
power	2.000	3.000	1.000	5.000	0.000	0.000	0.000
potion	0.000	1.000	1.000	1.000	0.000	0.000	0.000
posesensitive	0.000	1.000	1.000	1.000	0.000	0.000	0.000
privacy	0.000	1.000	1.000	1.000	0.000	0.000	0.000
poserobust	0.000	1.000	1.000	1.000	0.000	0.000	0.000
poseflow	0.000	1.000	1.000	1.000	0.000	0.000	0.000
portrait	0.000	1.000	1.000	1.000	0.000	0.000	0.000
popup	0.000	1.000	1.000	1.000	0.000	0.000	0.000
polynomial	0.000	1.000	1.000	1.000	0.000	0.000	0.000
polygonal	0.000	1.000	1.000	1.000	0.000	0.000	0.000
policy	0.000	1.000	1.000	1.000	0.000	0.000	0.000
policies	0.000	1.000	1.000	1.000	0.000	0.000	0.000
polarising	0.000	1.000	1.000	1.000	0.000	0.000	0.000
pointnetvlad	0.000	1.000	1.000	1.000	0.000	0.000	0.000
pointnets	0.000	1.000	1.000	1.000	0.000	0.000	0.000
priorless	0.000	1.000	1.000	1.000	0.000	0.000	0.000
private	0.000	1.000	1.000	1.000	0.000	0.000	0.000
similar	0.000	1.000	1.000	1.000	0.000	0.000	0.000
punet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
rankbased	0.000	1.000	1.000	1.000	0.000	0.000	0.000
raindrop	0.000	1.000	1.000	1.000	0.000	0.000	0.000
radiology	0.000	1.000	1.000	1.000	0.000	0.000	0.000
radio	0.000	1.000	1.000	1.000	0.000	0.000	0.000
radiallydistorted	0.000	1.000	1.000	1.000	0.000	0.000	0.000
quotient	0.000	1.000	1.000	1.000	0.000	0.000	0.000
quadrics	0.000	1.000	1.000	1.000	0.000	0.000	0.000
quadratic	0.000	1.000	1.000	1.000	0.000	0.000	0.000
qlearning	0.000	1.000	1.000	1.000	0.000	0.000	0.000
pwcnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
purely	0.000	1.000	1.000	1.000	0.000	0.000	0.000
pulling	0.000	1.000	1.000	1.000	0.000	0.000	0.000
probabilities	0.000	1.000	1.000	1.000	0.000	0.000	0.000
pruningquantization	0.000	1.000	1.000	1.000	0.000	0.000	0.000
proposal	2.000	3.000	1.000	5.000	0.000	0.000	0.000
proportion	0.000	1.000	1.000	1.000	0.000	0.000	0.000
properly	0.000	1.000	1.000	1.000	0.000	0.000	0.000
proofreading	0.000	1.000	1.000	1.000	0.000	0.000	0.000
promote	0.000	1.000	1.000	1.000	0.000	0.000	0.000
prominent	0.000	1.000	1.000	1.000	0.000	0.000	0.000
progressively	0.000	1.000	1.000	1.000	0.000	0.000	0.000
groupcap	0.000	1.000	1.000	1.000	0.000	0.000	0.000
progression	0.000	1.000	1.000	1.000	0.000	0.000	0.000
programs	0.000	1.000	1.000	1.000	0.000	0.000	0.000
pointing	0.000	1.000	1.000	1.000	0.000	0.000	0.000
pointgrid	0.000	1.000	1.000	1.000	0.000	0.000	0.000
pointfusion	0.000	1.000	1.000	1.000	0.000	0.000	0.000
parser	0.000	1.000	1.000	1.000	0.000	0.000	0.000
penguins	0.000	1.000	1.000	1.000	0.000	0.000	0.000
pedestrian	4.000	5.000	1.000	9.000	0.001	0.001	0.000
peak	0.000	1.000	1.000	1.000	0.000	0.000	0.000
paths	1.000	2.000	1.000	3.000	0.000	0.000	0.000
path	0.000	1.000	1.000	1.000	0.000	0.000	0.000
patchmatch	0.000	1.000	1.000	1.000	0.000	0.000	0.000
past	0.000	1.000	1.000	1.000	0.000	0.000	0.000
partitions	0.000	1.000	1.000	1.000	0.000	0.000	0.000
partitioning	0.000	1.000	1.000	1.000	0.000	0.000	0.000
participating	0.000	1.000	1.000	1.000	0.000	0.000	0.000
part	4.000	5.000	1.000	9.000	0.001	0.001	0.000
parse	0.000	1.000	1.000	1.000	0.000	0.000	0.000
pldnn	0.000	1.000	1.000	1.000	0.000	0.000	0.000
paris	0.000	1.000	1.000	1.000	0.000	0.000	0.000
parametrization	0.000	1.000	1.000	1.000	0.000	0.000	0.000
parameters	0.000	1.000	1.000	1.000	0.000	0.000	0.000
parallax	0.000	1.000	1.000	1.000	0.000	0.000	0.000
papiermch	0.000	1.000	1.000	1.000	0.000	0.000	0.000
panoramic	0.000	1.000	1.000	1.000	0.000	0.000	0.000
pairs	0.000	1.000	1.000	1.000	0.000	0.000	0.000
pairedcyclegan	0.000	1.000	1.000	1.000	0.000	0.000	0.000
padnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
padding	0.000	1.000	1.000	1.000	0.000	0.000	0.000
packnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
people	5.000	6.000	1.000	11.000	0.001	0.001	-0.000
perceptiondistortion	0.000	1.000	1.000	1.000	0.000	0.000	0.000
perceptual	3.000	4.000	1.000	7.000	0.000	0.001	0.000
perceptually	0.000	1.000	1.000	1.000	0.000	0.000	0.000
plant	0.000	1.000	1.000	1.000	0.000	0.000	0.000
planenet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
plane	0.000	1.000	1.000	1.000	0.000	0.000	0.000
place	0.000	1.000	1.000	1.000	0.000	0.000	0.000
pixor	0.000	1.000	1.000	1.000	0.000	0.000	0.000
pix3d	0.000	1.000	1.000	1.000	0.000	0.000	0.000
pipelines	0.000	1.000	1.000	1.000	0.000	0.000	0.000
pipeline	0.000	1.000	1.000	1.000	0.000	0.000	0.000
piecewise	0.000	1.000	1.000	1.000	0.000	0.000	0.000
pieapp	0.000	1.000	1.000	1.000	0.000	0.000	0.000
pid	0.000	1.000	1.000	1.000	0.000	0.000	0.000
picanet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
physicalworld	0.000	1.000	1.000	1.000	0.000	0.000	0.000
phrase	1.000	2.000	1.000	3.000	0.000	0.000	0.000
photos	0.000	1.000	1.000	1.000	0.000	0.000	0.000
photography	0.000	1.000	1.000	1.000	0.000	0.000	0.000
photographic	0.000	1.000	1.000	1.000	0.000	0.000	0.000
photo	4.000	5.000	1.000	9.000	0.001	0.001	0.000
phasenet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
petri	0.000	1.000	1.000	1.000	0.000	0.000	0.000
perturbative	0.000	1.000	1.000	1.000	0.000	0.000	0.000
perspective2point	0.000	1.000	1.000	1.000	0.000	0.000	0.000
performances	0.000	1.000	1.000	1.000	0.000	0.000	0.000
ransac	1.000	2.000	1.000	3.000	0.000	0.000	0.000
rate	0.000	1.000	1.000	1.000	0.000	0.000	0.000
rates	0.000	1.000	1.000	1.000	0.000	0.000	0.000
scenelevel	0.000	1.000	1.000	1.000	0.000	0.000	0.000
segmenting	1.000	2.000	1.000	3.000	0.000	0.000	0.000
segmentations	0.000	1.000	1.000	1.000	0.000	0.000	0.000
segmentationaware	0.000	1.000	1.000	1.000	0.000	0.000	0.000
segan	0.000	1.000	1.000	1.000	0.000	0.000	0.000
seeing	3.000	4.000	1.000	7.000	0.000	0.001	0.000
seednet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
seeded	0.000	1.000	1.000	1.000	0.000	0.000	0.000
seed	0.000	1.000	1.000	1.000	0.000	0.000	0.000
see	2.000	3.000	1.000	5.000	0.000	0.000	0.000
seamless	0.000	1.000	1.000	1.000	0.000	0.000	0.000
score	0.000	1.000	1.000	1.000	0.000	0.000	0.000
scenarios	0.000	1.000	1.000	1.000	0.000	0.000	0.000
rotationnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
scans	1.000	2.000	1.000	3.000	0.000	0.000	0.000
scancomplete	0.000	1.000	1.000	1.000	0.000	0.000	0.000
scaletransferrable	0.000	1.000	1.000	1.000	0.000	0.000	0.000
scaletime	0.000	1.000	1.000	1.000	0.000	0.000	0.000
scales	0.000	1.000	1.000	1.000	0.000	0.000	0.000
scalerecurrent	0.000	1.000	1.000	1.000	0.000	0.000	0.000
sbnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
samples	0.000	1.000	1.000	1.000	0.000	0.000	0.000
salience	1.000	2.000	1.000	3.000	0.000	0.000	0.000
saccade	0.000	1.000	1.000	1.000	0.000	0.000	0.000
routing	0.000	1.000	1.000	1.000	0.000	0.000	0.000
selection	2.000	3.000	1.000	5.000	0.000	0.000	0.000
selfcalibrating	0.000	1.000	1.000	1.000	0.000	0.000	0.000
selfdriving	0.000	1.000	1.000	1.000	0.000	0.000	0.000
selfexpression	0.000	1.000	1.000	1.000	0.000	0.000	0.000
sim2real	0.000	1.000	1.000	1.000	0.000	0.000	0.000
significant	0.000	1.000	1.000	1.000	0.000	0.000	0.000
sight	0.000	1.000	1.000	1.000	0.000	0.000	0.000
shufflenet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
show	0.000	1.000	1.000	1.000	0.000	0.000	0.000
shapedependent	0.000	1.000	1.000	1.000	0.000	0.000	0.000
shapecontextnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
shapeconsistency	0.000	1.000	1.000	1.000	0.000	0.000	0.000
shake	0.000	1.000	1.000	1.000	0.000	0.000	0.000
shadows	0.000	1.000	1.000	1.000	0.000	0.000	0.000
shading	1.000	2.000	1.000	3.000	0.000	0.000	0.000
sgpn	0.000	1.000	1.000	1.000	0.000	0.000	0.000
sgan	0.000	1.000	1.000	1.000	0.000	0.000	0.000
sfsnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
sfm	0.000	1.000	1.000	1.000	0.000	0.000	0.000
servoing	0.000	1.000	1.000	1.000	0.000	0.000	0.000
sentence	1.000	2.000	1.000	3.000	0.000	0.000	0.000
sensing	1.000	2.000	1.000	3.000	0.000	0.000	0.000
semstyle	0.000	1.000	1.000	1.000	0.000	0.000	0.000
semiparametric	0.000	1.000	1.000	1.000	0.000	0.000	0.000
semi	0.000	1.000	1.000	1.000	0.000	0.000	0.000
semanticvisual	0.000	1.000	1.000	1.000	0.000	0.000	0.000
semanticspreserving	0.000	1.000	1.000	1.000	0.000	0.000	0.000
rotationsensitive	0.000	1.000	1.000	1.000	0.000	0.000	0.000
rotationinvariant	0.000	1.000	1.000	1.000	0.000	0.000	0.000
ratio	0.000	1.000	1.000	1.000	0.000	0.000	0.000
referenceguided	0.000	1.000	1.000	1.000	0.000	0.000	0.000
repetition	0.000	1.000	1.000	1.000	0.000	0.000	0.000
renderer	0.000	1.000	1.000	1.000	0.000	0.000	0.000
renderandcompare	0.000	1.000	1.000	1.000	0.000	0.000	0.000
relaxations	0.000	1.000	1.000	1.000	0.000	0.000	0.000
relax	0.000	1.000	1.000	1.000	0.000	0.000	0.000
relative	1.000	2.000	1.000	3.000	0.000	0.000	0.000
relations	0.000	1.000	1.000	1.000	0.000	0.000	0.000
regularize	0.000	1.000	1.000	1.000	0.000	0.000	0.000
regions	0.000	1.000	1.000	1.000	0.000	0.000	0.000
reflection	3.000	4.000	1.000	7.000	0.000	0.001	0.000
refinement	3.000	4.000	1.000	7.000	0.000	0.001	0.000
referenceaware	0.000	1.000	1.000	1.000	0.000	0.000	0.000
root	0.000	1.000	1.000	1.000	0.000	0.000	0.000
redaction	0.000	1.000	1.000	1.000	0.000	0.000	0.000
recurrency	0.000	1.000	1.000	1.000	0.000	0.000	0.000
rectification	0.000	1.000	1.000	1.000	0.000	0.000	0.000
recovering	1.000	2.000	1.000	3.000	0.000	0.000	0.000
reconstructability	0.000	1.000	1.000	1.000	0.000	0.000	0.000
recognize	0.000	1.000	1.000	1.000	0.000	0.000	0.000
reciprocating	0.000	1.000	1.000	1.000	0.000	0.000	0.000
reasoned	0.000	1.000	1.000	1.000	0.000	0.000	0.000
realtime	6.000	7.000	1.000	13.000	0.001	0.001	-0.000
real	1.000	2.000	1.000	3.000	0.000	0.000	0.000
raynet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
reporting	0.000	1.000	1.000	1.000	0.000	0.000	0.000
represent	0.000	1.000	1.000	1.000	0.000	0.000	0.000
representing	0.000	1.000	1.000	1.000	0.000	0.000	0.000
reproducing	0.000	1.000	1.000	1.000	0.000	0.000	0.000
robustifying	0.000	1.000	1.000	1.000	0.000	0.000	0.000
robot	0.000	1.000	1.000	1.000	0.000	0.000	0.000
roadtracer	0.000	1.000	1.000	1.000	0.000	0.000	0.000
rnns	1.000	2.000	1.000	3.000	0.000	0.000	0.000
rnn	1.000	2.000	1.000	3.000	0.000	0.000	0.000
ring	1.000	2.000	1.000	3.000	0.000	0.000	0.000
rigidity	0.000	1.000	1.000	1.000	0.000	0.000	0.000
right	0.000	1.000	1.000	1.000	0.000	0.000	0.000
rgbd	6.000	7.000	1.000	13.000	0.001	0.001	-0.000
rfcn3000	0.000	1.000	1.000	1.000	0.000	0.000	0.000
reweighted	0.000	1.000	1.000	1.000	0.000	0.000	0.000
revised	0.000	1.000	1.000	1.000	0.000	0.000	0.000
retrace	0.000	1.000	1.000	1.000	0.000	0.000	0.000
retargetting	0.000	1.000	1.000	1.000	0.000	0.000	0.000
retargeting	0.000	1.000	1.000	1.000	0.000	0.000	0.000
resourceconstrained	0.000	1.000	1.000	1.000	0.000	0.000	0.000
resource	0.000	1.000	1.000	1.000	0.000	0.000	0.000
residue	0.000	1.000	1.000	1.000	0.000	0.000	0.000
residuals	0.000	1.000	1.000	1.000	0.000	0.000	0.000
reshuffle	0.000	1.000	1.000	1.000	0.000	0.000	0.000
resectionintersection	0.000	1.000	1.000	1.000	0.000	0.000	0.000
repulsion	0.000	1.000	1.000	1.000	0.000	0.000	0.000
reproduction	0.000	1.000	1.000	1.000	0.000	0.000	0.000
grouping	0.000	1.000	1.000	1.000	0.000	0.000	0.000
zoomin	0.000	1.000	1.000	1.000	0.000	0.000	0.000
groupbased	0.000	1.000	1.000	1.000	0.000	0.000	0.000
cuttingagent	0.000	1.000	1.000	1.000	0.000	0.000	0.000
decision	1.000	2.000	1.000	3.000	0.000	0.000	0.000
decidenet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
deblurring	6.000	7.000	1.000	13.000	0.001	0.001	-0.000
deblurgan	0.000	1.000	1.000	1.000	0.000	0.000	0.000
db	0.000	1.000	1.000	1.000	0.000	0.000	0.000
database	1.000	2.000	1.000	3.000	0.000	0.000	0.000
dagan	0.000	1.000	1.000	1.000	0.000	0.000	0.000
cvmnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
cuts	1.000	2.000	1.000	3.000	0.000	0.000	0.000
decoder	0.000	1.000	1.000	1.000	0.000	0.000	0.000
customized	0.000	1.000	1.000	1.000	0.000	0.000	0.000
current	0.000	1.000	1.000	1.000	0.000	0.000	0.000
curl	0.000	1.000	1.000	1.000	0.000	0.000	0.000
curated	0.000	1.000	1.000	1.000	0.000	0.000	0.000
cumulative	0.000	1.000	1.000	1.000	0.000	0.000	0.000
cubes	0.000	1.000	1.000	1.000	0.000	0.000	0.000
cube	0.000	1.000	1.000	1.000	0.000	0.000	0.000
ct	0.000	1.000	1.000	1.000	0.000	0.000	0.000
decisions	0.000	1.000	1.000	1.000	0.000	0.000	0.000
decomposing	0.000	1.000	1.000	1.000	0.000	0.000	0.000
denseaspp	0.000	1.000	1.000	1.000	0.000	0.000	0.000
deflecting	0.000	1.000	1.000	1.000	0.000	0.000	0.000
demonstrations	0.000	1.000	1.000	1.000	0.000	0.000	0.000
demo2vec	0.000	1.000	1.000	1.000	0.000	0.000	0.000
delving	0.000	1.000	1.000	1.000	0.000	0.000	0.000
dels3d	0.000	1.000	1.000	1.000	0.000	0.000	0.000
delineation	0.000	1.000	1.000	1.000	0.000	0.000	0.000
degradations	0.000	1.000	1.000	1.000	0.000	0.000	0.000
deformation	2.000	3.000	1.000	5.000	0.000	0.000	0.000
deflection	0.000	1.000	1.000	1.000	0.000	0.000	0.000
defending	0.000	1.000	1.000	1.000	0.000	0.000	0.000
decomposition	6.000	7.000	1.000	13.000	0.001	0.001	-0.000
deexpression	0.000	1.000	1.000	1.000	0.000	0.000	0.000
deepvoting	0.000	1.000	1.000	1.000	0.000	0.000	0.000
deepmvs	0.000	1.000	1.000	1.000	0.000	0.000	0.000
decoupling	0.000	1.000	1.000	1.000	0.000	0.000	0.000
decoupled	0.000	1.000	1.000	1.000	0.000	0.000	0.000
decorrelation	0.000	1.000	1.000	1.000	0.000	0.000	0.000
decorrelated	0.000	1.000	1.000	1.000	0.000	0.000	0.000
decoration	0.000	1.000	1.000	1.000	0.000	0.000	0.000
csrnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
csgnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
crrn	0.000	1.000	1.000	1.000	0.000	0.000	0.000
conservative	0.000	1.000	1.000	1.000	0.000	0.000	0.000
controller	1.000	2.000	1.000	3.000	0.000	0.000	0.000
controllable	0.000	1.000	1.000	1.000	0.000	0.000	0.000
contrastive	0.000	1.000	1.000	1.000	0.000	0.000	0.000
contrasted	0.000	1.000	1.000	1.000	0.000	0.000	0.000
contentweighted	0.000	1.000	1.000	1.000	0.000	0.000	0.000
contentsensitive	0.000	1.000	1.000	1.000	0.000	0.000	0.000
constructive	0.000	1.000	1.000	1.000	0.000	0.000	0.000
considering	0.000	1.000	1.000	1.000	0.000	0.000	0.000
conquer	0.000	1.000	1.000	1.000	0.000	0.000	0.000
crowdsourced	0.000	1.000	1.000	1.000	0.000	0.000	0.000
connectomics	0.000	1.000	1.000	1.000	0.000	0.000	0.000
conjugate	0.000	1.000	1.000	1.000	0.000	0.000	0.000
congruent	0.000	1.000	1.000	1.000	0.000	0.000	0.000
congested	0.000	1.000	1.000	1.000	0.000	0.000	0.000
conditions	0.000	1.000	1.000	1.000	0.000	0.000	0.000
condensenet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
concurrent	0.000	1.000	1.000	1.000	0.000	0.000	0.000
compressible	0.000	1.000	1.000	1.000	0.000	0.000	0.000
conversation	0.000	1.000	1.000	1.000	0.000	0.000	0.000
convex	2.000	3.000	1.000	5.000	0.000	0.000	0.000
cooperation	0.000	1.000	1.000	1.000	0.000	0.000	0.000
corner	0.000	1.000	1.000	1.000	0.000	0.000	0.000
crowds	0.000	1.000	1.000	1.000	0.000	0.000	0.000
crossview	1.000	2.000	1.000	3.000	0.000	0.000	0.000
crossscale	0.000	1.000	1.000	1.000	0.000	0.000	0.000
crosspopulation	0.000	1.000	1.000	1.000	0.000	0.000	0.000
crossmedia	0.000	1.000	1.000	1.000	0.000	0.000	0.000
cross	0.000	1.000	1.000	1.000	0.000	0.000	0.000
cropping	0.000	1.000	1.000	1.000	0.000	0.000	0.000
criteria	0.000	1.000	1.000	1.000	0.000	0.000	0.000
creating	0.000	1.000	1.000	1.000	0.000	0.000	0.000
crafting	0.000	1.000	1.000	1.000	0.000	0.000	0.000
covariance	1.000	2.000	1.000	3.000	0.000	0.000	0.000
cotracking	0.000	1.000	1.000	1.000	0.000	0.000	0.000
costsensitive	0.000	1.000	1.000	1.000	0.000	0.000	0.000
costadjustable	0.000	1.000	1.000	1.000	0.000	0.000	0.000
cosine	0.000	1.000	1.000	1.000	0.000	0.000	0.000
cosface	0.000	1.000	1.000	1.000	0.000	0.000	0.000
correction	1.000	2.000	1.000	3.000	0.000	0.000	0.000
dendritic	0.000	1.000	1.000	1.000	0.000	0.000	0.000
densenet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
excitation	0.000	1.000	1.000	1.000	0.000	0.000	0.000
domainspecific	0.000	1.000	1.000	1.000	0.000	0.000	0.000
duality	1.000	2.000	1.000	3.000	0.000	0.000	0.000
ds	0.000	1.000	1.000	1.000	0.000	0.000	0.000
dropout	0.000	1.000	1.000	1.000	0.000	0.000	0.000
driving	2.000	3.000	1.000	5.000	0.000	0.000	0.000
downsampling	0.000	1.000	1.000	1.000	0.000	0.000	0.000
doublefusion	0.000	1.000	1.000	1.000	0.000	0.000	0.000
dota	0.000	1.000	1.000	1.000	0.000	0.000	0.000
dont	0.000	1.000	1.000	1.000	0.000	0.000	0.000
domaindissimilarity	0.000	1.000	1.000	1.000	0.000	0.000	0.000
duplex	0.000	1.000	1.000	1.000	0.000	0.000	0.000
dogs	0.000	1.000	1.000	1.000	0.000	0.000	0.000
dog	0.000	1.000	1.000	1.000	0.000	0.000	0.000
docunet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
document	1.000	2.000	1.000	3.000	0.000	0.000	0.000
do	1.000	2.000	1.000	3.000	0.000	0.000	0.000
dnns	0.000	1.000	1.000	1.000	0.000	0.000	0.000
diversenet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
div	0.000	1.000	1.000	1.000	0.000	0.000	0.000
dualstate	0.000	1.000	1.000	1.000	0.000	0.000	0.000
dvqa	0.000	1.000	1.000	1.000	0.000	0.000	0.000
densepose	0.000	1.000	1.000	1.000	0.000	0.000	0.000
environment	0.000	1.000	1.000	1.000	0.000	0.000	0.000
evolution	1.000	2.000	1.000	3.000	0.000	0.000	0.000
events	0.000	1.000	1.000	1.000	0.000	0.000	0.000
eventbased	2.000	3.000	1.000	5.000	0.000	0.000	0.000
evaluate	0.000	1.000	1.000	1.000	0.000	0.000	0.000
estimate	0.000	1.000	1.000	1.000	0.000	0.000	0.000
erase	0.000	1.000	1.000	1.000	0.000	0.000	0.000
epipolar	0.000	1.000	1.000	1.000	0.000	0.000	0.000
epinet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
env	0.000	1.000	1.000	1.000	0.000	0.000	0.000
dynamicstructured	0.000	1.000	1.000	1.000	0.000	0.000	0.000
ensembles	0.000	1.000	1.000	1.000	0.000	0.000	0.000
enriching	0.000	1.000	1.000	1.000	0.000	0.000	0.000
enough	0.000	1.000	1.000	1.000	0.000	0.000	0.000
enhancer	0.000	1.000	1.000	1.000	0.000	0.000	0.000
emotional	0.000	1.000	1.000	1.000	0.000	0.000	0.000
eliminating	0.000	1.000	1.000	1.000	0.000	0.000	0.000
effectively	0.000	1.000	1.000	1.000	0.000	0.000	0.000
easy	0.000	1.000	1.000	1.000	0.000	0.000	0.000
distributable	0.000	1.000	1.000	1.000	0.000	0.000	0.000
distortandrecover	0.000	1.000	1.000	1.000	0.000	0.000	0.000
distinct	0.000	1.000	1.000	1.000	0.000	0.000	0.000
despite	0.000	1.000	1.000	1.000	0.000	0.000	0.000
devices	0.000	1.000	1.000	1.000	0.000	0.000	0.000
determination	0.000	1.000	1.000	1.000	0.000	0.000	0.000
detections	0.000	1.000	1.000	1.000	0.000	0.000	0.000
detecting	3.000	4.000	1.000	7.000	0.000	0.001	0.000
detectandtrack	0.000	1.000	1.000	1.000	0.000	0.000	0.000
detect	2.000	3.000	1.000	5.000	0.000	0.000	0.000
detailpreserving	0.000	1.000	1.000	1.000	0.000	0.000	0.000
detach	0.000	1.000	1.000	1.000	0.000	0.000	0.000
design	0.000	1.000	1.000	1.000	0.000	0.000	0.000
distillation	1.000	2.000	1.000	3.000	0.000	0.000	0.000
desensitizing	0.000	1.000	1.000	1.000	0.000	0.000	0.000
describing	0.000	1.000	1.000	1.000	0.000	0.000	0.000
dermatologist	0.000	1.000	1.000	1.000	0.000	0.000	0.000
depthbased	1.000	2.000	1.000	3.000	0.000	0.000	0.000
depthaware	0.000	1.000	1.000	1.000	0.000	0.000	0.000
dependency	0.000	1.000	1.000	1.000	0.000	0.000	0.000
dependence	0.000	1.000	1.000	1.000	0.000	0.000	0.000
densityaware	0.000	1.000	1.000	1.000	0.000	0.000	0.000
diagrams	0.000	1.000	1.000	1.000	0.000	0.000	0.000
dialog	1.000	2.000	1.000	3.000	0.000	0.000	0.000
diffeomorphic	0.000	1.000	1.000	1.000	0.000	0.000	0.000
diffeomorphisms	0.000	1.000	1.000	1.000	0.000	0.000	0.000
distances	0.000	1.000	1.000	1.000	0.000	0.000	0.000
